record_id,citation_key,title,year,source,stage,decision,exclusion_reason,reviewer,date,notes
R001-0001,bastani2025generative,Generative AI without guardrails can harm learning outcomes,2025,orientation,full_text,include,,atlas-seed,2026-08-31,Direct assisted versus unassisted contrast
R001-0002,kestin2025aitutoring,AI tutoring outperforms in-class active learning,2025,orientation,full_text,include,,atlas-seed,2026-08-31,Structured authentic RCT; short-term outcomes
R001-0003,deSimone2025nigeria,"From Chalkboards to Chatbots: Transforming Learning in Nigeria, One Prompt at a Time",2025,orientation,full_text,include,,atlas-seed,2026-08-31,Teacher-supported bundled intervention
R001-0004,khosravi2026companions,Building AI Companions that Prioritise Learning over Performance,2026,orientation,full_text,background,,atlas-seed,2026-08-31,Framework rather than causal outcome study
R001-0005,oecd2026digital,OECD Digital Education Outlook 2026,2026,orientation,full_text,background,,atlas-seed,2026-08-31,Evidence and policy synthesis
R001-0006,vanlehn2011tutoring,"The Relative Effectiveness of Human Tutoring, Intelligent Tutoring Systems, and Other Tutoring Systems",2011,orientation,full_text,background,,atlas-seed,2026-08-31,Pre-GenAI mechanism context
R001-0007,contractor2026experimental,Experimental Evidence on the Learning Impact of Generative AI,2026,arXiv-and-citation-discovery,full_text,include,,codex-full-pass,2026-08-31,Randomized assisted learning with immediate and one-week unaided outcomes
R001-0008,gardella2026fast,Fast and Forgettable,2026,native-web-and-arXiv,full_text,include,,codex-controlled-outcomes,2026-09-01,Large assisted advantage and individual one-week retest; absolute retest contrast inconclusive
R001-0009,rotter2026access,Access Timing as Scaffolding,2026,native-web-and-arXiv,full_text,include,,codex-controlled-outcomes,2026-09-01,Access-policy comparison with immediate unassisted outcome; high risk of bias
R001-0010,saloojee2026bedside,AI at the bedside,2026,native-web-PubMed-and-citation-discovery,full_text,include,,codex-controlled-outcomes,2026-09-01,Authentic RCT; AI prohibited during assessor evaluation and later summative result reported but under-specified
R001-0011,bassner2026dissociation,Less stress better scores same learning,2026,native-web-Crossref-OpenAlex,full_text,awaiting_source,full text blocked by publisher robot challenge,codex-controlled-outcomes,2026-09-01,CC BY identity abstract and analysis dataset verified; not admitted without paper methods
R001-0012,barcaui2025crutch,ChatGPT as a cognitive crutch,2025,native-web-Crossref-OpenAlex,full_text,awaiting_source,lawful full text not inspectable in this pass,codex-controlled-outcomes,2026-09-01,Relevant randomized 45-day result retained as candidate only
R001-0013,oreopoulos2026productive,Making AI Tutoring Productive: Evidence from a Mastery-Based Math Practice Experiment,2026,native-web-NBER-Crossref-OpenAlex,full_text,include,,codex-weekly-scout,2026-09-14,Large randomized field experiment; post-error recovery strong and one-week effect modest and marginal
R001-0014,learnlm2025rct,AI tutoring can safely and effectively support students: An exploratory RCT in UK classrooms,2025,native-web-arXiv,full_text,include,,codex-weekly-scout,2026-09-14,Interactive support after error beats static hints; human-supervised model and no delayed outcome
R001-0015,deffarges2026socrates,Socrates went Nuclear: Comparing Interaction Strategies for AI systems in a Learning Context using Brain Sensing,2026,native-web-arXiv,full_text,include,,codex-weekly-scout,2026-09-14,Current-system strict-withholding counterexample; small immediate model-graded study
R001-0016,blasco2024socratic,The Impact of Large Language Models on Students: A Randomised Study of Socratic vs. Non-Socratic AI and the Role of Step-by-Step Reasoning,2024,native-web-Crossref-OpenAlex-SSRN,full_text,awaiting_source,SSRN full text blocked by HTTP 403,codex-weekly-scout,2026-09-14,Direct null lead retained; secondary summaries not admitted
R001-0017,heickal2026feedback,A Classroom Study of LLM-Generated Feedback Intervention in Introductory Programming,2026,native-web-arXiv,full_text,background,no independent learning outcome and reported analyses associative,codex-weekly-scout,2026-09-14,Useful retry-process source but does not answer causal learning question
